jur_id,jur_desc,prg_id,año,desc,monto_normalizado
1,Poder Legislativo Nacional,40,2023,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33800034.0
1,Poder Legislativo Nacional,40,2024,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33800000.0
1,Poder Legislativo Nacional,40,2025,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",0.0
1,Poder Legislativo Nacional,40,2026,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149)",38000000.0
1,Poder Legislativo Nacional,41,2023,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",57945058.0
1,Poder Legislativo Nacional,41,2024,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",151545000.0
1,Poder Legislativo Nacional,41,2025,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",151545000.0
1,Poder Legislativo Nacional,41,2026,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",171000000.0
1,Poder Legislativo Nacional,44,2023,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",2057112441.0
1,Poder Legislativo Nacional,44,2024,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",7254943914.0
1,Poder Legislativo Nacional,44,2025,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",8405783916.0
1,Poder Legislativo Nacional,44,2026,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",8769000000.0
20,Presidencia de la Nación,22,2024,Acciones de Prensa Institucional,4437005420.0
20,Presidencia de la Nación,22,2025,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,9781454741.0
20,Presidencia de la Nación,22,2026,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,8110979751.0
20,Presidencia de la Nación,23,2023,Pensiones no Contributivas por Invalidez Laborativa,381217883037.0
20,Presidencia de la Nación,23,2025,Gestion de Organismos Estables,12948372472.0
20,Presidencia de la Nación,23,2026,Gestion de Organismos Estables,24439842932.0
25,Jefatura de Gabinete de Ministros,16,2023,"Prevencion, Estadisticas e Investigacion sobre Consumos Problematicos",519032725.0
25,Jefatura de Gabinete de Ministros,16,2024,Generacion de Ciclos de Informacion Espacial Completos,45537007709.0
25,Jefatura de Gabinete de Ministros,16,2025,Promocion del Turismo Receptivo Internacional,12881492651.0
25,Jefatura de Gabinete de Ministros,16,2026,Promocion del Turismo Receptivo Internacional,13568400000.0
25,Jefatura de Gabinete de Ministros,17,2023,Atencion y Acompañamiento a Personas con Consumos Problematicos,8688751017.0
25,Jefatura de Gabinete de Ministros,17,2024,Investigacion y Desarrollo de Medios de Acceso al Espacio,11441793648.0
25,Jefatura de Gabinete de Ministros,17,2025,Investigacion y Desarrollo de Medios de Acceso al Espacio,7445798504.0
25,Jefatura de Gabinete de Ministros,17,2026,Investigacion y Desarrollo de Medios de Acceso al Espacio,326392831.0
25,Jefatura de Gabinete de Ministros,18,2023,Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones,1142800901.0
25,Jefatura de Gabinete de Ministros,18,2024,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",29556037179.0
25,Jefatura de Gabinete de Ministros,18,2025,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",40572989500.0
25,Jefatura de Gabinete de Ministros,18,2026,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",43375434487.0
25,Jefatura de Gabinete de Ministros,19,2024,Investigaciones en Ciencia y Tecnica en el Atlantico Sur: Pampa Azul,215430665.0
25,Jefatura de Gabinete de Ministros,19,2025,Relaciones con las Provincias y Desarrollo Regional,229706157516.0
25,Jefatura de Gabinete de Ministros,19,2026,Formacion y Capacitacion,3793596574.0
25,Jefatura de Gabinete de Ministros,20,2023,Control de Servicios Postales,398489807.0
25,Jefatura de Gabinete de Ministros,20,2024,Desarrollo de Politicas de Vinculacion Tecnologica y Social,283014409.0
25,Jefatura de Gabinete de Ministros,20,2025,Desarrollos y Suministros para la Energia Nuclear,113040019639.0
25,Jefatura de Gabinete de Ministros,20,2026,Desarrollo de Politicas de Vinculacion Tecnologica y Social,2199648203.0
25,Jefatura de Gabinete de Ministros,23,2023,"Enseñanza, Capacitacion y Habilitacion",731864625.0
25,Jefatura de Gabinete de Ministros,23,2024,Pensiones no Contributivas por Invalidez Laborativa,3165104583670.0
25,Jefatura de Gabinete de Ministros,23,2025,Investigacion y Aplicaciones no Nucleares,11904613991.0
25,Jefatura de Gabinete de Ministros,23,2026,"Enseñanza, Capacitacion y Habilitacion",4183806296.0
25,Jefatura de Gabinete de Ministros,24,2023,Gobierno Abierto y Pais Digital,2253037748.0
25,Jefatura de Gabinete de Ministros,24,2024,Gobierno Abierto y Pais Digital,11381176121.0
25,Jefatura de Gabinete de Ministros,24,2025,Suministros y Tecnologia del Ciclo de Combustible Nuclear,14542274608.0
25,Jefatura de Gabinete de Ministros,24,2026,Infraestructura en Areas Naturales Protegidas,3596818482.0
25,Jefatura de Gabinete de Ministros,25,2023,Innovacion Administrativa,1902237540.0
25,Jefatura de Gabinete de Ministros,25,2024,Innovacion Administrativa,9769617697.0
25,Jefatura de Gabinete de Ministros,25,2025,Sistema de Areas Marinas Protegidas,715774172.0
25,Jefatura de Gabinete de Ministros,25,2026,Sistema de Areas Marinas Protegidas,806774560.0
25,Jefatura de Gabinete de Ministros,26,2023,Gestion y Organizacion del Sistema de Contrataciones de la Administracion Publica Nacional,316219736.0
25,Jefatura de Gabinete de Ministros,26,2024,Gestion y Organizacion del Sistema de Contrataciones de la Administracion Publica Nacional,1337455014.0
25,Jefatura de Gabinete de Ministros,26,2025,"Planificacion, Formulacion y Ejecucion de Politicas de Conservacion en Areas Naturales Protegidas",1986990186.0
25,Jefatura de Gabinete de Ministros,26,2026,"Planificacion, Formulacion y Ejecucion de Politicas de Conservacion en Areas Naturales Protegidas",8231979805.0
25,Jefatura de Gabinete de Ministros,27,2023,Desarrollo de los Recursos Humanos del Sector Publico,3287326546.0
25,Jefatura de Gabinete de Ministros,27,2024,Desarrollo de los Recursos Humanos del Sector Publico,12402990509.0
25,Jefatura de Gabinete de Ministros,27,2025,Recuperacion Sustentable de Paisajes y Medios de Vida en Argentina (BIRF N° 9335-AR y PROGREEN Nº TF0B7681),4764983898.0
25,Jefatura de Gabinete de Ministros,27,2026,Recuperacion Sustentable de Paisajes y Medios de Vida en Argentina (BIRF N° 9335-AR y PROGREEN Nº TF0B7681),5385000000.0
25,Jefatura de Gabinete de Ministros,34,2023,Administracion de Bienes del Estado,3139585910.0
25,Jefatura de Gabinete de Ministros,34,2024,Administracion de Bienes del Estado,11141499786.0
25,Jefatura de Gabinete de Ministros,34,2025,Iniciativas Complementarias de Interior,17382400969.0
25,Jefatura de Gabinete de Ministros,34,2026,Administracion de Bienes del Estado,15573214830.0
25,Jefatura de Gabinete de Ministros,50,2023,Coordinacion de Proyectos Sociocomunitarios,499335917.0
25,Jefatura de Gabinete de Ministros,50,2025,Desarrollo del Turismo Nacional,2714921666.0
25,Jefatura de Gabinete de Ministros,50,2026,Formulacion y Ejecucion de Politica en Ciencia y Tecnica,22918575881.0
25,Jefatura de Gabinete de Ministros,51,2023,Legitimar y Reconstruir Juventudes,1440789440.0
25,Jefatura de Gabinete de Ministros,51,2025,Plan Federal de Turismo Social Responsable,6313570514.0
25,Jefatura de Gabinete de Ministros,52,2023,Argentina Futura,32333288.0
25,Jefatura de Gabinete de Ministros,52,2025,Inversiones con Financiamiento Internacional,1733408092.0
25,Jefatura de Gabinete de Ministros,53,2025,Calidad y Formacion Turistica,540878441.0
25,Jefatura de Gabinete de Ministros,53,2026,Calidad Turistica,3445956862.0
25,Jefatura de Gabinete de Ministros,55,2025,Deporte Federado e Iniciacion Deportiva,12263886529.0
25,Jefatura de Gabinete de Ministros,55,2026,"Estrategia, Coordinacion y Priorizacion de las Politicas Publicas",11036712137.0
25,Jefatura de Gabinete de Ministros,62,2023,Coordinacion de Iniciativas bajo la Modalidad de Contratos de Participacion Publica - Privada,33440053.0
25,Jefatura de Gabinete de Ministros,62,2024,Prevencion y Control de Discapacidades,3501598955.0
25,Jefatura de Gabinete de Ministros,74,2023,Prensa y Difusion de Actos de Gobierno,20520458835.0
25,Jefatura de Gabinete de Ministros,74,2025,Politica Ambiental en Recursos Naturales,13454259852.0
25,Jefatura de Gabinete de Ministros,75,2023,Acciones para la Federalizacion de la Comunicacion Publica y de los Contenidos,806947224.0
25,Jefatura de Gabinete de Ministros,75,2025,Promocion y Gestion del Cambio Climatico y el Desarrollo Sostenible,2549009848.0
25,Jefatura de Gabinete de Ministros,8,2023,Actividad Comun a los Programas 74 y 75,1225306274.0
25,Jefatura de Gabinete de Ministros,8,2025,Actividades Comun de Programas de Turismo y Deporte,7323407957.0
