jur_id,jur_desc,prg_id,en_2023,en_2024,en_2025,en_2026,monto_2023,monto_2024,monto_2025,monto_2026,nombre_estable,nombres_distintos,alerta,desc_2023,desc_2026
1,Poder Legislativo Nacional,16,✓,✓,✓,✓,35099310655.0,160016786585.0,190730669717.0,194118720000.0,SI,,,Formacion y Sancion de Leyes Nacionales,Formacion y Sancion de Leyes Nacionales
1,Poder Legislativo Nacional,17,✓,✓,✓,✓,47998120140.0,188176613620.0,215586613778.0,212866016696.0,SI,,,Formacion y Sancion Legislativa,Formacion y Sancion Legislativa
1,Poder Legislativo Nacional,18,✓,✓,✓,✓,12730402880.0,40765190680.0,49714496193.0,52295000000.0,SI,,,Asistencia Bibliografica,Asistencia Bibliografica
1,Poder Legislativo Nacional,19,✓,✓,✓,✓,3002838025.0,11597910022.0,13503999640.0,13953564278.0,SI,,,Impresiones y Publicaciones Parlamentarias,Impresiones y Publicaciones Parlamentarias
1,Poder Legislativo Nacional,20,✓,✓,✓,✓,8614794615.0,49788057475.0,73182963937.0,60004800000.0,SI,,,Asistencia Social Integral al Personal del Congreso de la Nacion,Asistencia Social Integral al Personal del Congreso de la Nacion
1,Poder Legislativo Nacional,21,✓,✓,✓,✓,3447569448.0,10768496000.0,13312451000.0,14916895001.0,SI,,,Defensa de los Derechos de los Ciudadanos,Defensa de los Derechos de los Ciudadanos
1,Poder Legislativo Nacional,22,✓,✓,✓,✓,92377246.0,92377154.0,92377154.0,104000000.0,SI,,,Revision de Cuentas Nacionales,Revision de Cuentas Nacionales
1,Poder Legislativo Nacional,23,✓,✓,✓,✓,179200179.0,179200000.0,179200000.0,202000000.0,SI,,,Revision de Cuentas Nacionales,Revision de Cuentas Nacionales
1,Poder Legislativo Nacional,25,✓,✓,✓,✓,114803269.0,114803154.0,114803154.0,129000000.0,SI,,,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia
1,Poder Legislativo Nacional,26,✓,✓,✓,✓,3175365175.0,13416322736.0,17042232736.0,19243000000.0,SI,,,Proteccion de los Derechos del Interno Penitenciario,Proteccion de los Derechos del Interno Penitenciario
1,Poder Legislativo Nacional,27,✓,✓,✓,✓,83551661.0,83551577.0,0.0,95000000.0,SI,,,Monitoreo e Implementacion del Nuevo Codigo Procesal Penal de la Nacion,Monitoreo e Implementacion del Nuevo Codigo Procesal Penal de la Nacion
1,Poder Legislativo Nacional,31,✓,✓,✓,✓,29217606.0,189217577.0,189217577.0,213000000.0,SI,,,Control Parlamentario de Seguimiento de Tramite Legislativo,Control Parlamentario de Seguimiento de Tramite Legislativo
1,Poder Legislativo Nacional,32,✓,✓,✓,✓,68990646.0,138990577.0,138990577.0,157000000.0,SI,,,Control Parlamentario de los Fondos de la Seguridad Social,Control Parlamentario de los Fondos de la Seguridad Social
1,Poder Legislativo Nacional,33,✓,✓,✓,✓,31586609.0,31586577.0,1080000.0,36000000.0,SI,,,Promocion y Seguimiento de la Comunicacion Audiovisual,Promocion y Seguimiento de la Comunicacion Audiovisual
1,Poder Legislativo Nacional,36,✓,✓,✓,✓,902389532.0,3836306797.0,5562406797.0,4020396548.0,SI,,,Defensa del Publico de Servicios de Comunicacion Audiovisual,Defensa del Publico de Servicios de Comunicacion Audiovisual
1,Poder Legislativo Nacional,40,✓,✓,✓,✓,33800034.0,33800000.0,0.0,38000000.0,NO,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149) | Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",NOMBRE_CAMBIA,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)","Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149)"
1,Poder Legislativo Nacional,41,✓,✓,✓,✓,57945058.0,151545000.0,151545000.0,171000000.0,NO,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes | Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",NOMBRE_CAMBIA,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)","Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes"
1,Poder Legislativo Nacional,42,✓,✓,✓,✓,222930223.0,1073908000.0,1386908000.0,1296800000.0,SI,,,Apoyo al Congreso Nacional en Materia Fiscal,Apoyo al Congreso Nacional en Materia Fiscal
1,Poder Legislativo Nacional,43,✓,✓,✓,✓,534148534.0,3404735590.0,5269594065.0,5407570000.0,SI,,,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes","Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes"
1,Poder Legislativo Nacional,44,✓,✓,✓,✓,2057112441.0,7254943914.0,8405783916.0,8769000000.0,NO,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA) | Defensa de los Derechos de las Niñas, Niños y Adolescentes",NOMBRE_CAMBIA,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)","Defensa de los Derechos de las Niñas, Niños y Adolescentes"
1,Poder Legislativo Nacional,45,✓,✓,✓,✓,20928021.0,20928000.0,0.0,24000000.0,SI,,,Seguimiento de Contratos de Participacion Publico-Privada,Seguimiento de Contratos de Participacion Publico-Privada
1,Poder Legislativo Nacional,46,✓,✓,✓,✓,61173638.0,61173577.0,0.0,69000000.0,SI,,,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion
1,Poder Legislativo Nacional,48,✓,✓,✓,✓,770000770.0,1185000000.0,1185000000.0,1253000000.0,SI,,,Administracion del Edificio del Molino,Administracion del Edificio del Molino
1,Poder Legislativo Nacional,49,✓,✓,✓,✓,30506608.0,30506577.0,15253289.0,35000000.0,SI,,,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,Control Parlamentario sobre Organos y Actividades de Seguridad Interior
10,Ministerio Público,16,✓,✓,✓,✓,76247870948.0,372913487397.0,515913755933.0,539546299994.0,SI,,,Ejercicio de la Accion Publica y Defensa de la Legalidad,Ejercicio de la Accion Publica y Defensa de la Legalidad
10,Ministerio Público,17,✓,✓,✓,✓,45039186198.0,203529418772.0,287907092389.0,295846000000.0,SI,,,"Representacion, Defensa y Curatela Publica Oficial","Representacion, Defensa y Curatela Publica Oficial"
20,Presidencia de la Nación,1,✓,✗,✓,✓,1733184968.0,0,33588725136.0,22080713408.0,SI,,,Actividades Centrales,Actividades Centrales
20,Presidencia de la Nación,16,✓,✓,✓,✓,3383324047.0,15301712592.0,23500023816.0,25197987161.0,SI,,,Regulacion y Fiscalizacion de las Actividades Nucleares,Regulacion y Fiscalizacion de las Actividades Nucleares
20,Presidencia de la Nación,17,✓,✗,✗,✗,59000059.0,0,0,0,SI,,SOLO_2023,Abordaje Territorial,
20,Presidencia de la Nación,18,✓,✗,✗,✗,56580057.0,0,0,0,SI,,SOLO_2023,Promocion del Modelo Social de la Discapacidad en Municipios,
20,Presidencia de la Nación,20,✓,✓,✓,✓,2600619291.0,9941497069.0,13143997279.0,13196407328.0,SI,,,Asistencia Legal y Tecnica,Asistencia Legal y Tecnica
20,Presidencia de la Nación,21,✓,✗,✗,✗,2279950267.0,0,0,0,SI,,SOLO_2023,Asistencia y Coordinacion de Politicas Sociales,
20,Presidencia de la Nación,22,✗,✓,✓,✓,0,4437005420.0,9781454741.0,8110979751.0,NO,Acciones de Prensa Institucional | Promocion y Desarrollo Artistico Cultural y de las Economias Creativas,NOMBRE_CAMBIA | NUEVO_POST2023,,Promocion y Desarrollo Artistico Cultural y de las Economias Creativas
20,Presidencia de la Nación,23,✓,✗,✓,✓,381217883037.0,0,12948372472.0,24439842932.0,NO,Gestion de Organismos Estables | Pensiones no Contributivas por Invalidez Laborativa,NOMBRE_CAMBIA,Pensiones no Contributivas por Invalidez Laborativa,Gestion de Organismos Estables
20,Presidencia de la Nación,24,✗,✗,✓,✓,0,0,25169541344.0,36839283462.0,SI,,NUEVO_POST2023,,Gestion de Museos Nacionales
20,Presidencia de la Nación,25,✗,✗,✓,✓,0,0,8071289543.0,6457270963.0,SI,,NUEVO_POST2023,,Difusion y Fortalecimiento del Patrimonio Cultural
20,Presidencia de la Nación,26,✗,✗,✓,✗,0,0,3473906269.0,0,SI,,NUEVO_POST2023,,
20,Presidencia de la Nación,27,✗,✗,✓,✓,0,0,37344544771.0,23111730827.0,SI,,NUEVO_POST2023,,Gestion de Espacios Culturales y Proyectos Especiales
20,Presidencia de la Nación,28,✗,✗,✓,✓,0,0,4762546749.0,5643850257.0,SI,,NUEVO_POST2023,,Fomento y Apoyo Economico a Bibliotecas Populares
20,Presidencia de la Nación,30,✗,✗,✓,✗,0,0,428987534.0,0,SI,,NUEVO_POST2023,,
20,Presidencia de la Nación,36,✓,✗,✗,✗,116910460895.0,0,0,0,SI,,SOLO_2023,Atencion Medica a los Beneficiarios de Pensiones no Contributivas,
20,Presidencia de la Nación,62,✓,✗,✗,✗,1590088592.0,0,0,0,SI,,SOLO_2023,Prevencion y Control de Discapacidades,
25,Jefatura de Gabinete de Ministros,1,✓,✓,✓,✓,18183564081.0,123480276042.0,275908901043.0,160742600577.0,SI,,,Actividades Centrales,Actividades Centrales
25,Jefatura de Gabinete de Ministros,10,✗,✗,✗,✓,0,0,0,1032050000.0,SI,,NUEVO_POST2023,,Gestion del  Financiamiento Externo en Ciencia y Gestion Gubernamental
25,Jefatura de Gabinete de Ministros,11,✗,✗,✓,✗,0,0,1466627875.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,12,✗,✗,✓,✗,0,0,12415995547.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,13,✗,✗,✗,✓,0,0,0,5776201495.0,SI,,NUEVO_POST2023,,Actividades Comunes a los Programas de Turismo
25,Jefatura de Gabinete de Ministros,14,✗,✗,✗,✓,0,0,0,12774452650.0,SI,,NUEVO_POST2023,,Actividades Comunes a los programas de Ambiente
25,Jefatura de Gabinete de Ministros,16,✓,✓,✓,✓,519032725.0,45537007709.0,12881492651.0,13568400000.0,NO,"Generacion de Ciclos de Informacion Espacial Completos | Promocion del Turismo Receptivo Internacional | Prevencion, Estadisticas e Investigacion sobre Consumos Problematicos",NOMBRE_CAMBIA,"Prevencion, Estadisticas e Investigacion sobre Consumos Problematicos",Promocion del Turismo Receptivo Internacional
25,Jefatura de Gabinete de Ministros,17,✓,✓,✓,✓,8688751017.0,11441793648.0,7445798504.0,326392831.0,NO,Investigacion y Desarrollo de Medios de Acceso al Espacio | Atencion y Acompañamiento a Personas con Consumos Problematicos,NOMBRE_CAMBIA,Atencion y Acompañamiento a Personas con Consumos Problematicos,Investigacion y Desarrollo de Medios de Acceso al Espacio
25,Jefatura de Gabinete de Ministros,18,✓,✓,✓,✓,1142800901.0,29556037179.0,40572989500.0,43375434487.0,NO,"Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones | Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",NOMBRE_CAMBIA,Administracion de Servicios de Tecnologias de la Informacion y las Comunicaciones,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica"
25,Jefatura de Gabinete de Ministros,19,✗,✓,✓,✓,0,215430665.0,229706157516.0,3793596574.0,NO,Formacion y Capacitacion | Investigaciones en Ciencia y Tecnica en el Atlantico Sur: Pampa Azul | Relaciones con las Provincias y Desarrollo Regional,NOMBRE_CAMBIA | NUEVO_POST2023,,Formacion y Capacitacion
25,Jefatura de Gabinete de Ministros,20,✓,✓,✓,✓,398489807.0,283014409.0,113040019639.0,2199648203.0,NO,Control de Servicios Postales | Desarrollos y Suministros para la Energia Nuclear | Desarrollo de Politicas de Vinculacion Tecnologica y Social,NOMBRE_CAMBIA,Control de Servicios Postales,Desarrollo de Politicas de Vinculacion Tecnologica y Social
25,Jefatura de Gabinete de Ministros,21,✗,✗,✓,✗,0,0,19076480827.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,22,✓,✓,✓,✓,1557783173.0,5768597965.0,6107097965.0,9303372784.0,SI,,,Control y Fiscalizacion de los Servicios de Comunicacion Audiovisual,Control y Fiscalizacion de los Servicios de Comunicacion Audiovisual
25,Jefatura de Gabinete de Ministros,23,✓,✓,✓,✓,731864625.0,3165104583670.0,11904613991.0,4183806296.0,NO,"Investigacion y Aplicaciones no Nucleares | Enseñanza, Capacitacion y Habilitacion | Pensiones no Contributivas por Invalidez Laborativa",NOMBRE_CAMBIA,"Enseñanza, Capacitacion y Habilitacion","Enseñanza, Capacitacion y Habilitacion"
25,Jefatura de Gabinete de Ministros,24,✓,✓,✓,✓,2253037748.0,11381176121.0,14542274608.0,3596818482.0,NO,Gobierno Abierto y Pais Digital | Infraestructura en Areas Naturales Protegidas | Suministros y Tecnologia del Ciclo de Combustible Nuclear,NOMBRE_CAMBIA,Gobierno Abierto y Pais Digital,Infraestructura en Areas Naturales Protegidas
25,Jefatura de Gabinete de Ministros,25,✓,✓,✓,✓,1902237540.0,9769617697.0,715774172.0,806774560.0,NO,Innovacion Administrativa | Sistema de Areas Marinas Protegidas,NOMBRE_CAMBIA,Innovacion Administrativa,Sistema de Areas Marinas Protegidas
