ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2023,1,Poder Legislativo Nacional,16,Control Externo del Sector Publico Nacional,13821958873.95,22311252336.23,13821958874.0
2023,1,Poder Legislativo Nacional,16,Formacion y Sancion de Leyes Nacionales,35099310655.28,65539341095.28,35099310655.0
2024,1,Poder Legislativo Nacional,16,Control Externo del Sector Publico Nacional,22364.97,60324.27,60324267145.0
2024,1,Poder Legislativo Nacional,16,Formacion y Sancion de Leyes Nacionales,65539.28,160016.79,160016786585.0
2025,1,Poder Legislativo Nacional,16,Control Externo del Sector Publico Nacional,60324.27,75975.59,75975586454.0
2025,1,Poder Legislativo Nacional,16,Formacion y Sancion de Leyes Nacionales,160016.79,190730.67,190730669717.0
2026,1,Poder Legislativo Nacional,16,Control Externo del Sector Publico Nacional,84515.14,84515.14,84515138432.0
2026,1,Poder Legislativo Nacional,16,Formacion y Sancion de Leyes Nacionales,184475.0,194118.72,194118720000.0
2023,1,Poder Legislativo Nacional,17,Formacion y Sancion Legislativa,47998120140.07,83689540231.46,47998120140.0
2024,1,Poder Legislativo Nacional,17,Formacion y Sancion Legislativa,83711.96,188176.61,188176613620.0
2025,1,Poder Legislativo Nacional,17,Formacion y Sancion Legislativa,188176.61,215586.61,215586613778.0
2026,1,Poder Legislativo Nacional,17,Formacion y Sancion Legislativa,218102.61,212866.02,212866016696.0
2023,1,Poder Legislativo Nacional,18,Asistencia Bibliografica,12730402880.39,18330408480.39,12730402880.0
2024,1,Poder Legislativo Nacional,18,Asistencia Bibliografica,18330.39,40765.19,40765190680.0
2025,1,Poder Legislativo Nacional,18,Asistencia Bibliografica,40765.19,49714.5,49714496193.0
2026,1,Poder Legislativo Nacional,18,Asistencia Bibliografica,52295.0,52295.0,52295000000.0
2023,1,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,3002838024.84,6000666022.66,3002838025.0
2024,1,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,6000.91,11597.91,11597910022.0
2025,1,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,11597.91,13504.0,13503999640.0
2026,1,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,14057.96,13953.56,13953564278.0
2023,1,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nacion,8614794614.79,15645072457.06,8614794615.0
2024,1,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nacion,15645.06,49788.06,49788057475.0
2025,1,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nacion,49788.06,73182.96,73182963937.0
2026,1,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nacion,63620.0,60004.8,60004800000.0
