mes,cant_normas,cant_partidas,total_reduccion,total_aumento,neto_mensual,reduccion_acum,aumento_acum,neto_acum
2023-12,1,20,5021559753.0,342010898854.0,336989339101.0,5021559753.0,342010898854.0,336989339101.0
2024-03,1,195,314635348459.0,14859346541329.0,14544711192870.0,319656908212.0,15201357440183.0,14881700531971.0
2024-05,1,34,378459395507.0,499525138582.0,121065743075.0,698116303719.0,15700882578765.0,15002766275046.0
2024-06,1,162,476570554095.0,751260371524.0,274689817429.0,1174686857814.0,16452142950289.0,15277456092475.0
2024-07,1,332,714857035648.0,39612707517108.0,38897850481460.0,1889543893462.0,56064850467397.0,54175306573935.0
2024-09,1,32,60632305443.0,482947540162.0,422315234719.0,1950176198905.0,56547798007559.0,54597621808654.0
2024-12,1,202,1558905343538.0,1380630787833.0,-178274555705.0,3509081542443.0,57928428795392.0,54419347252949.0
2025-03,1,24,2222543274799.0,2214468651142.0,-8074623657.0,5731624817242.0,60142897446534.0,54411272629292.0
2025-05,1,66,1463539560453.0,1488339867192.0,24800306739.0,7195164377695.0,61631237313726.0,54436072936031.0
2025-06,1,258,303372757283.0,31697387702678.0,31394014945395.0,7498537134978.0,93328625016404.0,85830087881426.0
2025-09,1,172,953204018504.0,459672865740.0,-493531152764.0,8451741153482.0,93788297882144.0,85336556728662.0
2025-10,1,8,35832320574.0,35832320574.0,0.0,8487573474056.0,93824130202718.0,85336556728662.0
2025-12,1,252,2119250259390.0,5105396082268.0,2986145822878.0,10606823733446.0,98929526284986.0,88322702551540.0
2026-05,1,208,2811587911144.0,372172395001.0,-2439415516143.0,13418411644590.0,99301698679987.0,85883287035397.0
