jurisdiccion_id,jurisdiccion,ejercicio,presupuesto_original,presupuesto_vigente,reduccion_da,aumento_da,var_pct,estimado_modificado
50,Ministerio de Economía,2023,7127738208751.94,9070696372454.45,1.0531771619187794e+17,7.16741568026157e+17,8578090.7,6.11430979572488e+17
80,Ministerio de Salud,2023,1355085978453.18,2025003655368.99,1.0996652512641152e+16,5.99246499795347e+16,3610693.2,4.892935255287201e+16
91,Obligaciones a Cargo del Tesoro,2023,9395326042814.3,9414454164516.34,8369613274068032.0,1.471552984827888e+16,67543.3,6355311900253662.0
41,Ministerio de Seguridad,2023,3223753727303.22,5547394537028.9,3647631267802704.0,5.299097975978914e+16,1530617.8,4.9346572245713736e+16
25,Jefatura de Gabinete de Ministros,2023,287977679839.53,556171416032.41,3141746220887652.0,1294856990756056.0,-641330.7,-1846601252451756.5
45,Ministerio de Defensa,2023,2479950728984.97,4403675046429.19,754307827479624.0,1.1499872515960992e+16,433297.5,1.0748044639210352e+16
90,Servicio de la Deuda Pública,2023,8738276072757.72,13463577647857.72,80616121646336.0,440725740398540.0,4121.1,368847894824961.75
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",2023,302980691278.53,564944585374.8,60754790823104.0,899579466800448.0,276857.5,839127656668622.5
75,"Ministerio de Trabajo, Empleo y Seguridad Social",2023,35609321944377.02,45102579473496.15,23532800000000.0,235600955402860.0,595.5,247677477347237.03
40,Ministerio de Justicia y Derechos Humanos,2023,288003013248.97,510799710094.51,13844455207416.0,342923112677016.0,114262.2,329366660482849.0
30,Ministerio del Interior,2023,578432335224.71,1342353555067.04,6084799969080.0,412170183045012.0,70204.5,406663815411156.7
72,Ministerio de Cultura,2023,130627823346.59,237067688153.54,113624000000.0,0.0,-87.0,17003823346.589996
1,Poder Legislativo Nacional,2023,399697942544.6,690426138260.97,0.0,0.0,0.0,399697942544.6
10,Ministerio Público,2023,364257086387.99,635036858239.88,0.0,0.0,0.0,364257086387.99
20,Presidencia de la Nación,2023,2604941138120.42,4265995651147.08,0.0,25562060000000.0,981.3,28167001138120.42
5,Poder Judicial de la Nación,2023,1013608437561.37,1592543741115.74,0.0,0.0,0.0,1013608437561.37
53,Ministerio de Turismo y Deportes,2023,184596939419.29,252658574205.5,0.0,0.0,0.0,184596939419.29
57,Ministerio de Transporte,2023,919416954139.22,1973715574903.97,0.0,0.0,0.0,919416954139.22
64,Ministerio de Obras Públicas,2023,2148329083551.46,2940637372030.13,0.0,0.0,0.0,2148329083551.46
65,Ministerio de Desarrollo Territorial y Hábitat,2023,1161712039065.22,1190011577881.39,0.0,0.0,0.0,1161712039065.22
70,Ministerio de Educación,2023,4086254659110.43,7444945778984.77,0.0,0.0,0.0,4086254659110.43
71,"Ministerio de Ciencia, Tecnología e Innovación",2023,622702092534.3,970711243955.31,0.0,0.0,0.0,622702092534.3
81,Ministerio de Ambiente y Desarrollo Sostenible,2023,167617060974.34,251322070541.0,0.0,0.0,0.0,167617060974.34
85,Ministerio de Desarrollo Social,2023,3507465086679.64,6543046260611.69,0.0,763271532337284.0,21761.3,766778997423963.6
86,"Ministerio de las Mujeres, Géneros y Diversidad",2023,164050132655.36,244571667115.86,0.0,0.0,0.0,164050132655.36
50,Ministerio de Economía,2024,3010298147951.0,6305171620091.0,2.3910327113992664e+16,1.627221512900892e+17,4611231.8,1.3881483447424448e+17
88,Ministerio de Capital Humano,2024,19797216375269.0,50276591207026.0,2.372548384658697e+16,8.330879541317655e+17,4088264.0,8.093822675015538e+17
80,Ministerio de Salud,2024,694613974850.0,1701163185311.0,2714434149155144.0,1.4791912001732464e+16,1738732.3,1.207817246655217e+16
91,Obligaciones a Cargo del Tesoro,2024,3138150342122.0,7024387400467.0,1728892572503460.0,3039754576710150.0,41771.8,1314000154548812.0
77,Ministerio de Infraestructura,2024,2103048702782.0,2839541409880.0,1359785674101714.0,7909808198015840.0,311453.7,6552125572616908.0
25,Jefatura de Gabinete de Ministros,2024,1755058349947.0,4606286779243.0,970539437662746.0,400003592685788.0,-32508.1,-568780786627011.0
41,Ministerio de Seguridad,2024,1991068930661.0,4874129011308.0,962910651143280.0,1.398868884462552e+16,654210.3,1.30277692624129e+16
45,Ministerio de Defensa,2024,1467891192846.0,3919762908180.0,192605123264543.0,2936379927096844.0,186919.5,2745242695025147.0
90,Servicio de la Deuda Pública,2024,4487857720000.0,10277457720000.0,62214615618368.0,340125299655395.0,6192.5,282398541757027.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",2024,188314799020.0,520717840390.0,17065952478400.0,252690861460800.0,125122.9,235813223781420.0
