fecha,indicador,valor,fuente
2022-01-31,IPC_variacion_mensual,3.9,argentinadatos.com
2022-02-28,IPC_variacion_mensual,4.7,argentinadatos.com
2022-03-31,IPC_variacion_mensual,6.7,argentinadatos.com
2022-04-30,IPC_variacion_mensual,6.0,argentinadatos.com
2022-05-31,IPC_variacion_mensual,5.1,argentinadatos.com
2022-06-30,IPC_variacion_mensual,5.3,argentinadatos.com
2022-07-31,IPC_variacion_mensual,7.4,argentinadatos.com
2022-08-31,IPC_variacion_mensual,7.0,argentinadatos.com
2022-09-30,IPC_variacion_mensual,6.2,argentinadatos.com
2022-10-31,IPC_variacion_mensual,6.3,argentinadatos.com
2022-11-30,IPC_variacion_mensual,4.9,argentinadatos.com
2022-12-31,IPC_variacion_mensual,5.1,argentinadatos.com
2023-01-31,IPC_variacion_mensual,6.0,argentinadatos.com
2023-02-28,IPC_variacion_mensual,6.6,argentinadatos.com
2023-03-31,IPC_variacion_mensual,7.7,argentinadatos.com
2023-04-30,IPC_variacion_mensual,8.4,argentinadatos.com
2023-05-31,IPC_variacion_mensual,7.8,argentinadatos.com
2023-06-30,IPC_variacion_mensual,6.0,argentinadatos.com
2023-07-31,IPC_variacion_mensual,6.3,argentinadatos.com
2023-08-31,IPC_variacion_mensual,12.4,argentinadatos.com
2023-09-30,IPC_variacion_mensual,12.7,argentinadatos.com
2023-10-31,IPC_variacion_mensual,8.3,argentinadatos.com
2023-11-30,IPC_variacion_mensual,12.8,argentinadatos.com
2023-12-31,IPC_variacion_mensual,25.5,argentinadatos.com
2024-01-31,IPC_variacion_mensual,20.6,argentinadatos.com
2024-02-29,IPC_variacion_mensual,13.2,argentinadatos.com
2024-03-31,IPC_variacion_mensual,11.0,argentinadatos.com
2024-04-30,IPC_variacion_mensual,8.8,argentinadatos.com
2024-05-31,IPC_variacion_mensual,4.2,argentinadatos.com
2024-06-30,IPC_variacion_mensual,4.6,argentinadatos.com
2024-07-31,IPC_variacion_mensual,4.0,argentinadatos.com
2024-08-31,IPC_variacion_mensual,4.2,argentinadatos.com
2024-09-30,IPC_variacion_mensual,3.5,argentinadatos.com
2024-10-31,IPC_variacion_mensual,2.7,argentinadatos.com
2024-11-30,IPC_variacion_mensual,2.4,argentinadatos.com
